,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,latitude,longitude,depth,EH1,EH2,AZ,EV,mag,ID
194,1985,10,20,0,43,38.07,38.78902,-122.77773,1.573,0.021,0.013,122,0.027,1.7,1132365
195,1985,10,20,18,24,14.0,38.79556,-122.75013,1.889,0.006,0.006,61,0.008,2.0,57312
196,1985,10,20,19,28,21.526,38.80454,-122.77527,1.287,0.012,0.009,31,0.014,1.9,57315
197,1985,10,20,19,49,16.12,38.78396,-122.77295,1.109,0.009,0.007,133,0.013,1.6,57317
198,1985,10,21,8,38,28.105,38.78511,-122.77463,1.662,0.015,0.013,86,0.03,1.6,57334
199,1985,10,23,12,56,32.643,38.78219,-122.76247,1.021,0.007,0.006,77,0.008,2.1,57515
200,1985,10,25,22,15,3.333,38.80079,-122.77144,1.968,0.009,0.008,150,0.012,1.8,57669
201,1985,10,25,22,53,17.651,38.78189,-122.77269,1.412,0.014,0.013,108,0.025,1.6,1132481
202,1985,10,26,3,53,38.255,38.78611,-122.7732,0.685,0.007,0.006,22,0.011,1.8,57678
203,1985,10,26,12,33,12.815,38.78781,-122.77575,1.67,0.01,0.009,55,0.011,1.8,57686
204,1985,10,27,3,35,14.933,38.78783,-122.77461,0.644,0.012,0.008,85,0.015,1.9,57718
205,1985,11,2,21,6,5.971,38.77941,-122.77018,1.558,0.009,0.007,165,0.011,1.8,58239
206,1985,11,3,13,53,37.885,38.78727,-122.77516,1.845,0.01,0.008,51,0.01,2.5,58178
207,1985,11,7,20,45,11.22,38.79464,-122.74953,1.969,0.006,0.005,45,0.009,1.8,58502
208,1985,11,12,3,22,44.52,38.79859,-122.77688,1.234,0.017,0.013,32,0.018,1.7,59922
209,1985,11,12,8,6,2.48,38.78566,-122.774,1.778,0.012,0.007,46,0.012,1.9,58788
210,1985,11,12,15,22,49.463,38.78851,-122.76483,1.161,0.008,0.006,2,0.014,1.7,59924
211,1985,11,14,2,56,10.666,38.78016,-122.76087,1.307,0.006,0.006,165,0.008,2.1,58974
212,1985,11,23,4,45,41.175,38.78634,-122.77318,0.838,0.007,0.005,62,0.01,1.6,61275
213,1985,11,23,4,47,18.92,38.78586,-122.77428,1.011,0.012,0.007,84,0.01,2.5,59690
214,1985,11,23,17,28,9.56,38.788,-122.77124,3.705,0.016,0.015,8,0.025,2.0,59999
215,1985,11,28,9,33,37.471,38.78733,-122.75502,1.687,0.014,0.012,152,0.018,1.6,1133260
216,1985,11,30,1,52,37.57,38.78075,-122.76816,1.179,0.007,0.006,26,0.008,2.3,60193
217,1985,11,30,3,15,5.706,38.79568,-122.75105,1.631,0.006,0.006,164,0.008,2.7,60195
218,1985,11,30,8,15,51.64,38.7907,-122.77696,2.396,0.012,0.01,27,0.011,2.8,60206
219,1985,11,30,8,19,41.18,38.78996,-122.77763,2.292,0.014,0.009,146,0.016,1.7,60208
220,1985,12,3,6,56,57.257,38.78169,-122.76266,1.031,0.01,0.007,163,0.014,1.7,1133423
221,1985,12,3,14,25,23.001,38.78849,-122.7551,1.877,0.009,0.006,47,0.011,2.2,60478
222,1985,12,7,5,16,13.095,38.78955,-122.77538,0.735,0.013,0.008,41,0.012,2.9,60988
223,1985,12,10,12,0,0.62,38.79109,-122.77537,0.788,0.014,0.012,83,0.017,1.6,61066
224,1985,12,15,22,26,49.534,38.78177,-122.75978,1.033,0.009,0.008,154,0.01,2.2,61534
225,1985,12,17,8,59,1.62,38.78295,-122.76004,1.131,0.009,0.008,109,0.009,2.0,61658
226,1985,12,26,12,14,48.594,38.80334,-122.77152,1.383,0.009,0.008,67,0.013,1.8,62207
227,1985,12,27,20,34,29.419,38.78245,-122.76196,0.942,0.007,0.006,174,0.009,2.3,62301
228,1985,12,28,22,26,35.941,38.78843,-122.7732,0.649,0.008,0.007,124,0.012,2.6,62377
229,1985,12,30,3,35,40.752,38.79423,-122.77133,1.174,0.044,0.009,107,0.404,1.6,1134300
230,1986,1,1,5,54,36.808,38.8022,-122.76904,2.369,0.011,0.008,21,0.011,2.7,62546
231,1986,1,4,4,43,32.14,38.79024,-122.77763,1.87,0.01,0.009,38,0.011,2.3,62790
232,1986,1,4,22,49,56.26,38.7921,-122.77672,0.757,0.017,0.015,13,0.022,1.7,64253
233,1986,1,8,2,17,12.5,38.78465,-122.7685,0.836,0.027,0.023,128,0.046,2.1,63082
234,1986,1,11,8,17,35.959,38.78225,-122.76833,1.367,0.009,0.007,88,0.01,2.5,63291
235,1986,1,11,9,51,48.725,38.8052,-122.77138,2.255,0.024,0.017,137,0.029,1.6,63292
236,1986,1,11,9,52,4.999,38.80475,-122.77105,2.023,0.009,0.006,25,0.009,3.0,63260
237,1986,1,11,17,54,41.32,38.80731,-122.76949,2.397,0.01,0.007,116,0.015,1.6,66191
238,1986,1,14,1,31,17.664,38.79404,-122.76862,1.117,0.009,0.007,78,0.013,1.8,66194
239,1986,1,16,9,52,50.206,38.80352,-122.77241,1.815,0.012,0.011,7,0.015,2.3,63692
240,1986,1,16,16,0,31.726,38.78503,-122.77453,0.831,0.017,0.012,123,0.022,1.7,66198
241,1986,1,17,19,40,38.44,38.78636,-122.77438,1.576,0.011,0.009,167,0.009,2.2,63901
242,1986,1,17,20,27,33.62,38.78635,-122.77447,1.719,0.01,0.008,83,0.009,2.7,63828
243,1986,1,17,21,53,7.2,38.78254,-122.7673,0.652,0.01,0.007,135,0.013,1.9,66262
244,1986,1,18,12,3,15.597,38.78667,-122.75917,0.584,0.015,0.013,60,0.037,1.7,1134929
245,1986,1,18,19,8,11.8,38.79417,-122.77731,0.861,0.027,0.022,113,0.04,1.9,1134936
246,1986,1,22,6,14,50.555,38.78907,-122.77744,1.636,0.023,0.015,125,0.023,1.8,1135062
247,1986,1,23,16,46,58.56,38.78469,-122.77421,1.201,0.014,0.012,104,0.036,1.7,1135120
248,1986,1,26,13,47,4.6,38.77924,-122.76692,1.277,0.008,0.006,136,0.01,2.2,64472
249,1986,1,26,15,13,23.726,38.78453,-122.77329,1.406,0.031,0.024,15,0.04,3.3,64474
250,1986,1,26,18,53,44.949,38.79471,-122.75058,1.755,0.007,0.007,159,0.011,2.2,64482
251,1986,2,1,11,32,27.952,38.78167,-122.76197,1.243,0.007,0.006,25,0.01,2.3,66666
252,1986,2,2,18,15,36.381,38.80202,-122.77175,1.744,0.01,0.008,3,0.011,1.9,66668
253,1986,2,6,20,6,7.4,38.78373,-122.76439,1.055,0.019,0.012,135,0.023,1.7,1135831
